song,performer,date,chart_position,previous_position,peak,weeks_on_chart,hitTF
Narcos,Migos,2018-09-08,89,0,89,13,1
High Hopes,Panic! At The Disco,2018-11-17,12,11,11,14,1
Moonlight,XXXTENTACION,2018-07-28,37,34,13,14,1
Millionaire,Chris Stapleton,2019-03-23,53,55,53,14,1
Lovely,Billie Eilish & Khalid,2019-02-09,81,82,64,14,1
Narcos,Migos,2018-09-15,98,89,89,14,1
High Hopes,Panic! At The Disco,2018-11-24,8,12,8,15,1
Moonlight,XXXTENTACION,2018-08-04,39,37,13,15,1
Millionaire,Chris Stapleton,2019-03-30,47,53,47,15,1
Lovely,Billie Eilish & Khalid,2019-02-16,66,81,64,15,1
Narcos,Migos,2018-09-22,100,98,89,15,1
High Hopes,Panic! At The Disco,2018-12-01,6,8,6,16,1
Moonlight,XXXTENTACION,2018-08-11,38,39,13,16,1
Millionaire,Chris Stapleton,2019-04-06,64,47,47,16,1
Lovely,Billie Eilish & Khalid,2019-02-23,75,66,64,16,1
Mayores,Becky G Featuring Bad Bunny,2018-03-03,100,0,100,16,1
High Hopes,Panic! At The Disco,2018-12-08,5,6,5,17,1
Moonlight,XXXTENTACION,2018-08-18,58,38,13,17,1
Lovely,Billie Eilish & Khalid,2019-03-02,79,75,64,17,1
Millionaire,Chris Stapleton,2019-04-13,95,64,47,17,1
Mayores,Becky G Featuring Bad Bunny,2018-03-10,97,100,97,17,1
High Hopes,Panic! At The Disco,2018-12-15,5,5,5,18,1
Moonlight,XXXTENTACION,2018-08-25,50,58,13,18,1
High Hopes,Panic! At The Disco,2018-12-22,5,5,5,19,1
Moonlight,XXXTENTACION,2018-09-01,48,50,13,19,1
High Hopes,Panic! At The Disco,2018-12-29,6,5,5,20,1
Moonlight,XXXTENTACION,2018-09-08,47,48,13,20,1
High Hopes,Panic! At The Disco,2019-01-05,6,6,5,21,1
High Hopes,Panic! At The Disco,2019-01-12,5,6,5,22,1
High Hopes,Panic! At The Disco,2019-01-19,5,5,5,23,1
High Hopes,Panic! At The Disco,2019-01-26,4,5,4,24,1
High Hopes,Panic! At The Disco,2019-02-02,6,4,4,25,1
High Hopes,Panic! At The Disco,2019-02-09,7,6,4,26,1
High Hopes,Panic! At The Disco,2019-02-16,6,7,4,27,1
High Hopes,Panic! At The Disco,2019-02-23,8,6,4,28,1
High Hopes,Panic! At The Disco,2019-03-02,9,8,4,29,1
High Hopes,Panic! At The Disco,2019-03-09,11,9,4,30,1
High Hopes,Panic! At The Disco,2019-03-16,12,11,4,31,1
High Hopes,Panic! At The Disco,2019-03-23,12,12,4,32,1
High Hopes,Panic! At The Disco,2019-03-30,14,12,4,33,1
High Hopes,Panic! At The Disco,2019-04-06,13,14,4,34,1
High Hopes,Panic! At The Disco,2019-04-13,17,13,4,35,1
High Hopes,Panic! At The Disco,2019-04-20,20,17,4,36,1
High Hopes,Panic! At The Disco,2019-04-27,21,20,4,37,1
High Hopes,Panic! At The Disco,2019-05-04,20,21,4,38,1
High Hopes,Panic! At The Disco,2019-05-11,18,20,4,39,1
High Hopes,Panic! At The Disco,2019-05-18,20,18,4,40,1
High Hopes,Panic! At The Disco,2019-05-25,20,20,4,41,1
High Hopes,Panic! At The Disco,2019-06-01,22,20,4,42,1
High Hopes,Panic! At The Disco,2019-06-08,19,22,4,43,1
High Hopes,Panic! At The Disco,2019-06-15,23,19,4,44,1
High Hopes,Panic! At The Disco,2019-06-22,21,23,4,45,1
High Hopes,Panic! At The Disco,2019-06-29,23,21,4,46,1
High Hopes,Panic! At The Disco,2019-07-06,32,23,4,47,1
High Hopes,Panic! At The Disco,2019-07-13,33,32,4,48,1
High Hopes,Panic! At The Disco,2019-07-20,33,33,4,49,1
High Hopes,Panic! At The Disco,2019-07-27,35,33,4,50,1
High Hopes,Panic! At The Disco,2019-08-03,34,35,4,51,1
High Hopes,Panic! At The Disco,2019-08-10,32,34,4,52,1
Electricity,Silk City x Dua Lipa,2018-12-29,93,0,93,6,1
On My Way To You,Cody Johnson,2019-03-30,95,0,95,6,1
On My Way To You,Cody Johnson,2019-04-06,92,95,92,7,1
Ocean Eyes,Billie Eilish,2019-04-13,94,0,94,7,1
Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-04-20,98,0,98,7,1
Ocean Eyes,Billie Eilish,2019-04-20,96,94,94,8,1
Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-04-27,99,98,98,8,1
Last Christmas,Wham!,2019-12-07,46,0,46,9,1
Ocean Eyes,Billie Eilish,2019-04-27,91,96,91,9,1
Let Me Down Slowly,Alec Benjamin Featuring Alessia Cara,2019-05-04,97,99,97,9,1
Last Christmas,Wham!,2019-12-14,27,46,27,10,1
It's The Most Wonderful Time Of The Year,Andy Williams,2019-12-07,49,0,49,10,1
Ocean Eyes,Billie Eilish,2019-05-04,84,91,84,10,1
It's The Most Wonderful Time Of The Year,Andy Williams,2019-12-14,24,49,24,11,1
Last Christmas,Wham!,2019-12-21,26,27,26,11,1
Ocean Eyes,Billie Eilish,2019-05-11,88,84,84,11,1
Last Christmas,Wham!,2019-12-28,17,26,17,12,1
It's The Most Wonderful Time Of The Year,Andy Williams,2019-12-21,20,24,20,12,1
Ocean Eyes,Billie Eilish,2019-05-18,93,88,84,12,1
It's The Most Wonderful Time Of The Year,Andy Williams,2019-12-28,15,20,15,13,1
Ocean Eyes,Billie Eilish,2019-05-25,90,93,84,13,1
Lovely,Billie Eilish & Khalid,2019-03-16,91,0,91,18,1
Lovely,Billie Eilish & Khalid,2019-03-23,93,91,91,19,1
Lovely,Billie Eilish & Khalid,2019-03-30,98,93,91,20,1
Lovely,Billie Eilish & Khalid,2019-04-06,96,98,91,21,1
Lovely,Billie Eilish & Khalid,2019-04-13,85,96,85,22,1
Electricity,Silk City x Dua Lipa,2019-01-12,62,0,62,7,1
Electricity,Silk City x Dua Lipa,2019-01-19,62,62,62,8,1
On My Way To You,Cody Johnson,2019-04-27,100,0,100,8,1
Electricity,Silk City x Dua Lipa,2019-01-26,68,62,62,9,1
On My Way To You,Cody Johnson,2019-05-04,89,100,89,9,1
On My Way To You,Cody Johnson,2019-05-11,84,89,84,10,1
Electricity,Silk City x Dua Lipa,2019-02-02,90,68,62,10,1
On My Way To You,Cody Johnson,2019-05-18,87,84,84,11,1
On My Way To You,Cody Johnson,2019-05-25,86,87,84,12,1
On My Way To You,Cody Johnson,2019-06-01,95,86,84,13,1
On My Way To You,Cody Johnson,2019-06-08,86,95,84,14,1
Ocean Eyes,Billie Eilish,2019-06-08,92,0,92,14,1
On My Way To You,Cody Johnson,2019-06-15,78,86,78,15,1
Ocean Eyes,Billie Eilish,2019-06-15,86,92,86,15,1
Ocean Eyes,Billie Eilish,2019-06-22,85,86,85,16,1
On My Way To You,Cody Johnson,2019-06-22,88,78,78,16,1
Ocean Eyes,Billie Eilish,2019-06-29,86,85,85,17,1
Ocean Eyes,Billie Eilish,2019-07-06,86,86,85,18,1
Ocean Eyes,Billie Eilish,2019-07-13,100,86,85,19,1
Ocean Eyes,Billie Eilish,2019-07-20,99,100,85,20,1
Jingle Bell Rock,Bobby Helms,2018-12-08,33,0,33,21,1
Jingle Bell Rock,Bobby Helms,2018-12-15,26,33,26,22,1
Jingle Bell Rock,Bobby Helms,2018-12-22,15,26,15,23,1
Jingle Bell Rock,Bobby Helms,2018-12-29,13,15,13,24,1
Jingle Bell Rock,Bobby Helms,2019-01-05,8,13,8,25,1
Jingle Bell Rock,Bobby Helms,2019-12-07,47,0,47,26,1
Jingle Bell Rock,Bobby Helms,2019-12-14,23,47,23,27,1
Jingle Bell Rock,Bobby Helms,2019-12-21,15,23,15,28,1
Jingle Bell Rock,Bobby Helms,2019-12-28,9,15,9,29,1
Bed,Nicki Minaj Featuring Ariana Grande,2018-08-04,55,52,43,6,1
One Thing Right,Marshmello & Kane Brown,2019-08-10,55,60,55,6,1
Some Of It,Eric Church,2019-07-13,55,66,55,6,1
Calling My Spirit,Kodak Black,2019-01-19,56,58,46,6,1
Barbie Dreams,Nicki Minaj,2018-09-29,57,45,18,6,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-08-18,57,50,50,6,1
Singles You Up,Jordan Davis,2018-03-24,57,62,57,6,1
Press,Cardi B,2019-07-20,58,42,16,6,1
Breathin,Ariana Grande,2018-10-06,58,62,22,6,1
Close Friends,Lil Baby,2018-11-24,58,59,28,6,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-09-07,58,50,43,6,1
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-01-20,58,65,52,6,1
Take It From Me,Jordan Davis,2019-02-16,58,68,58,6,1
Armed And Dangerous,Juice WRLD,2018-12-29,60,67,44,6,1
Billy,6ix9ine,2018-04-14,60,57,50,6,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-01-05,60,57,57,6,1
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,2018-06-09,61,62,36,6,1
Best Shot,Jimmie Allen,2018-11-03,61,69,61,6,1
One Man Band,Old Dominion,2019-10-12,62,64,62,6,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-06-16,63,62,16,6,1
Sanguine Paradise,Lil Uzi Vert,2019-06-01,63,59,28,6,1
Speechless,Dan + Shay,2018-10-27,63,69,63,6,1
Cool,Jonas Brothers,2019-05-25,64,70,27,6,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-10-13,64,56,56,6,1
BOP,DaBaby,2019-11-16,65,71,19,6,1
Big Ole Freak,Megan Thee Stallion,2019-05-25,65,65,65,6,1
One Foot,WALK THE MOON,2018-02-17,65,74,65,6,1
Changes,XXXTENTACION,2018-04-21,66,58,37,6,1
Remind Me To Forget,Kygo Featuring Miguel,2018-09-01,66,70,66,6,1
Callaita,Bad Bunny & Tainy,2019-07-27,67,73,67,6,1
Sixteen,Thomas Rhett,2018-12-29,67,76,67,6,1
Promises,Calvin Harris & Sam Smith,2018-10-06,68,77,65,6,1
One Number Away,Luke Combs,2018-05-05,68,70,67,6,1
Ridin' Roads,Dustin Lynch,2019-12-21,68,69,68,6,1
Rearview Town,Jason Aldean,2019-07-13,68,71,68,6,1
Shot Clock,Ella Mai,2019-03-16,68,81,68,6,1
Before I Let Go,Beyonce,2019-06-08,69,77,65,6,1
Rumor,Lee Brice,2019-04-27,69,78,69,6,1
Stargazing,Travis Scott,2018-09-22,71,61,8,6,1
Boy With Luv,BTS Featuring Halsey,2019-06-01,71,61,8,6,1
Prayed For You,Matt Stell,2019-09-21,71,65,65,6,1
Don't Call Me Up,Mabel,2019-05-11,71,70,67,6,1
Southbound,Carrie Underwood,2019-08-31,71,68,68,6,1
1942,G-Eazy Featuring Yo Gotti & YBN Nahmir,2018-09-01,71,85,70,6,1
All To Myself,Dan + Shay,2019-06-22,71,75,71,6,1
Rodeo,Lil Nas X & Cardi B,2019-08-10,72,73,22,6,1
Overdose,YoungBoy Never Broke Again,2018-06-16,72,52,42,6,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-07-20,72,74,67,6,1
Consequences,Camila Cabello,2018-12-22,72,94,72,6,1
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,2019-05-18,73,63,26,6,1
Bad Bad Bad,Young Thug Featuring Lil Baby,2019-10-05,73,69,32,6,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2018-12-15,74,57,28,6,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2018-12-08,74,69,69,6,1
Betrayed,Lil Xan,2018-01-06,75,77,67,6,1
Queen Of Mean,Sarah Jeffery,2019-09-21,76,58,49,6,1
OTW,"Khalid, Ty Dolla $ign & 6LACK",2018-06-09,77,69,57,6,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-06-29,77,77,73,6,1
That's On Me,Yella Beezy,2018-09-15,78,73,73,6,1
Ruin My Life,Zara Larsson,2019-02-16,78,79,76,6,1
Be Alright,Dean Lewis,2018-12-15,79,65,65,6,1
Sit Next To Me,Foster The People,2018-05-05,79,80,72,6,1
She's With Me,High Valley,2018-04-14,79,81,79,6,1
Raised On Country,Chris Young,2019-07-20,80,79,79,6,1
Remember You Young,Thomas Rhett,2019-11-02,80,83,80,6,1
Red Roses,Lil Skies Featuring Landon Cube,2018-02-24,81,77,69,6,1
Body,Loud Luxury Featuring Brando,2019-02-16,81,87,80,6,1
Baby Sitter,DaBaby Featuring Offset,2019-09-28,81,86,81,6,1
Talk To Me,Tory Lanez & Rich The Kid,2018-12-15,83,75,72,6,1
Ballin',Mustard Featuring Roddy Ricch,2019-09-07,83,79,79,6,1
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,2019-02-09,84,80,59,6,1
Did It Again,Lil Tecca,2019-10-05,84,85,64,6,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-09-08,84,82,81,6,1
Shotta Flow,NLE Choppa,2019-06-08,84,87,81,6,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-07-27,84,91,81,6,1
All Mine,Kanye West,2018-07-21,85,83,11,6,1
Always Remember Us This Way,Lady Gaga,2018-11-24,85,81,41,6,1
Rewrite The Stars,Zac Efron & Zendaya,2018-02-17,85,81,70,6,1
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-01-06,85,74,73,6,1
Rich & Sad,Post Malone,2018-06-16,88,79,14,6,1
Saint-Tropez,Post Malone,2019-10-26,88,76,18,6,1
STOOPID,6ix9ine Featuring Bobby Shmurda,2018-11-24,88,80,25,6,1
Talk You Out Of It,Florida Georgia Line,2019-04-06,88,93,80,6,1
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,2019-02-16,88,85,85,6,1
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,2019-06-15,89,85,69,6,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-03-16,90,96,59,6,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",2019-11-02,91,81,13,6,1
Right Back,Khalid Featuring A Boogie Wit da Hoodie,2019-09-21,93,73,73,6,1
Paranoid,Post Malone,2018-06-16,94,83,11,6,1
At The Club,Jacquees X Dej Loaf,2018-03-24,94,86,86,6,1
Te Robare,Nicky Jam X Ozuna,2019-06-29,94,91,91,6,1
Slide Away,Miley Cyrus,2019-10-05,95,89,47,6,1
Corazon,Maluma X Nego do Borel,2018-02-17,96,100,87,6,1
Come Thru,Summer Walker & Usher,2019-11-23,97,97,42,6,1
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",2019-07-13,98,78,78,6,1
"Thank U, Next",Ariana Grande,2018-12-29,1,1,1,7,1
7 Rings,Ariana Grande,2019-03-16,2,2,1,7,1
Senorita,Shawn Mendes & Camila Cabello,2019-08-17,3,3,2,7,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-04-21,4,3,2,7,1
Circles,Post Malone,2019-10-26,4,6,4,7,1
Roxanne,Arizona Zervas,2019-12-28,4,6,4,7,1
Bad Guy,Billie Eilish,2019-05-25,4,9,4,7,1
Sucker,Jonas Brothers,2019-04-27,6,6,1,7,1
Please Me,Cardi B & Bruno Mars,2019-04-13,6,5,3,7,1
All The Stars,Kendrick Lamar & SZA,2018-03-03,7,9,7,7,1
Stir Fry,Migos,2018-02-17,8,12,8,7,1
Sicko Mode,Travis Scott,2018-09-29,9,8,4,7,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-11-30,9,10,4,7,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-03-31,10,8,7,7,1
Boo'd Up,Ella Mai,2018-05-26,11,17,11,7,1
A Lot,21 Savage,2019-02-16,12,26,12,7,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-04-06,14,15,2,7,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-11-24,15,16,11,7,1
Pop Out,Polo G Featuring Lil Tjay,2019-06-22,11,22,11,12,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-05-11,13,14,2,12,1
Panini,Lil Nas X,2019-09-21,14,29,14,12,1
Dancing With A Stranger,Sam Smith & Normani,2019-04-13,15,17,15,12,1
All The Stars,Kendrick Lamar & SZA,2018-04-07,16,14,7,12,1
BOP,DaBaby,2019-12-28,16,11,11,12,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-09-28,16,23,16,12,1
Someone You Loved,Lewis Capaldi,2019-08-10,18,20,18,12,1
One Man Band,Old Dominion,2019-11-23,20,28,20,12,1
A Lot,21 Savage,2019-03-23,21,18,12,12,1
Breathin,Ariana Grande,2018-11-17,21,32,21,12,1
Please Me,Cardi B & Bruno Mars,2019-05-18,23,19,3,12,1
Beer Never Broke My Heart,Luke Combs,2019-08-03,24,24,22,12,1
Sweet But Psycho,Ava Max,2019-03-16,24,24,24,12,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-12-29,25,25,11,12,1
Back To You,Selena Gomez,2018-08-11,26,26,22,12,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-05-05,27,18,7,12,1
Delicate,Taylor Swift,2018-06-09,28,34,28,12,1
Be Careful,Cardi B,2018-06-30,29,23,11,12,1
Baby,Lil Baby & DaBaby,2019-10-19,29,26,21,12,1
Ballin',Mustard Featuring Roddy Ricch,2019-10-19,30,53,30,12,1
Plug Walk,Rich The Kid,2018-05-12,31,21,13,12,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-03-24,31,29,14,12,1
Bury A Friend,Billie Eilish,2019-04-27,31,30,14,12,1
Beautiful,Bazzi Featuring Camila Cabello,2018-11-03,31,32,31,12,1
Sad!,XXXTENTACION,2018-06-02,32,27,7,12,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-02-16,33,30,28,12,1
Better,Khalid,2018-12-15,33,29,29,12,1
Act Up,City Girls,2019-06-01,34,33,29,12,1
River,Eminem Featuring Ed Sheeran,2018-03-03,34,35,32,12,1
One Kiss,Calvin Harris & Dua Lipa,2018-07-07,36,37,30,12,1
Simple,Florida Georgia Line,2018-09-01,36,35,34,12,1
Baby Shark,Pinkfong,2019-03-30,37,35,32,12,1
She Got The Best Of Me,Luke Combs,2018-11-10,37,37,37,12,1
Speechless,Dan + Shay,2018-12-08,38,33,33,12,1
Shotta Flow,NLE Choppa,2019-07-20,38,45,38,12,1
Ric Flair Drip,Offset & Metro Boomin,2018-02-03,39,43,39,12,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-04-28,41,42,9,12,1
Powerglide,Rae Sremmurd & Juicy J,2018-06-02,41,31,28,12,1
Prayed For You,Matt Stell,2019-11-02,41,36,36,12,1
Rearview Town,Jason Aldean,2019-08-24,41,40,40,12,1
Rumor,Lee Brice,2019-06-08,41,45,41,12,1
All To Myself,Dan + Shay,2019-08-03,41,51,41,12,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-21,43,61,36,12,1
Shallow,Lady Gaga & Bradley Cooper,2018-12-29,44,39,5,12,1
Be Alright,Dean Lewis,2019-01-26,44,42,40,12,1
One Number Away,Luke Combs,2018-06-16,45,34,34,12,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-09-21,46,36,36,12,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2019-01-19,47,45,45,12,1
Broken,lovelytheband,2018-10-13,48,41,41,12,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-03-23,49,48,38,12,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-12-07,50,57,8,12,1
Sixteen,Thomas Rhett,2019-02-09,50,49,42,12,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-09-29,51,40,35,12,1
Outside Today,YoungBoy Never Broke Again,2018-04-14,54,40,31,12,1
Cool,Jonas Brothers,2019-07-06,55,50,27,12,1
One Thing Right,Marshmello & Kane Brown,2019-09-21,55,42,42,12,1
223's,YNW Melly & 9lokknine,2019-12-07,57,56,34,12,1
All Girls Are The Same,Juice WRLD,2018-08-11,57,58,41,12,1
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-02-17,57,66,57,12,1
Apes**t,The Carters,2018-09-15,59,53,13,12,1
Best Shot,Jimmie Allen,2018-12-15,59,49,46,12,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-09-07,60,48,34,12,1
Armed And Dangerous,Juice WRLD,2019-02-09,60,63,44,12,1
Chun-Li,Nicki Minaj,2018-07-07,62,52,10,12,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2019-01-26,62,55,28,12,1
Remember You Young,Thomas Rhett,2019-12-14,62,62,53,12,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-08-31,62,60,56,12,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-11-24,62,61,56,12,1
Take It From Me,Jordan Davis,2019-03-30,63,58,46,12,1
Sit Next To Me,Foster The People,2018-06-16,64,64,63,12,1
Betrayed,Lil Xan,2018-02-17,64,65,64,12,1
Southbound,Carrie Underwood,2019-10-12,64,66,64,12,1
Baby Sitter,DaBaby Featuring Offset,2019-11-09,65,59,59,12,1
Raised On Country,Chris Young,2019-08-31,66,55,54,12,1
Singles You Up,Jordan Davis,2018-05-05,67,59,50,12,1
Press,Cardi B,2019-08-31,68,61,16,12,1
Calling My Spirit,Kodak Black,2019-03-02,68,71,46,12,1
Callaita,Bad Bunny & Tainy,2019-09-07,69,56,52,12,1
Red Roses,Lil Skies Featuring Landon Cube,2018-04-07,69,75,69,12,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-10-19,70,70,43,12,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-08-10,71,74,71,12,1
Talk To Me,Tory Lanez & Rich The Kid,2019-01-26,72,57,43,12,1
Consequences,Camila Cabello,2019-02-02,72,60,51,12,1
Call Out My Name,The Weeknd,2018-06-30,73,54,4,12,1
Camelot,NLE Choppa,2019-12-14,73,65,37,12,1
Robbery,Juice WRLD,2019-05-18,74,68,27,12,1
Some Of It,Eric Church,2019-08-24,74,65,43,12,1
Candy Paint,Post Malone,2018-01-27,74,67,50,12,1
Blue Tacoma,Russell Dickerson,2018-11-17,74,71,52,12,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-07-28,76,75,16,12,1
Shot Clock,Ella Mai,2019-04-27,78,72,62,12,1
Talk You Out Of It,Florida Georgia Line,2019-05-18,79,82,78,12,1
That's On Me,Yella Beezy,2018-10-27,82,90,69,12,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-04-27,85,83,46,12,1
Before I Let Go,Beyonce,2019-07-20,87,80,65,12,1
Promises,Calvin Harris & Sam Smith,2018-11-17,88,86,65,12,1
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-03-03,89,93,52,12,1
Rubbin Off The Paint,YBN Nahmir,2018-02-10,91,69,46,12,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-10-20,92,92,75,12,1
Big Ole Freak,Megan Thee Stallion,2019-07-06,94,93,65,12,1
Sanguine Paradise,Lil Uzi Vert,2019-07-13,96,89,28,12,1
Boyfriend,Ariana Grande & Social House,2019-11-02,99,78,8,12,1
Circles,Post Malone,2019-12-07,1,1,1,13,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-01-26,2,1,1,13,1
Senorita,Shawn Mendes & Camila Cabello,2019-09-28,2,2,1,13,1
Sicko Mode,Travis Scott,2018-11-10,2,2,2,13,1
Bad Guy,Billie Eilish,2019-07-06,3,3,2,13,1
7 Rings,Ariana Grande,2019-04-27,4,4,1,13,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-06-02,4,4,2,13,1
Sucker,Jonas Brothers,2019-06-08,5,4,1,13,1
Better Now,Post Malone,2018-08-04,5,7,5,13,1
Panini,Lil Nas X,2019-09-28,5,14,5,13,1
"Thank U, Next",Ariana Grande,2019-02-09,6,4,1,13,1
Ran$om,Lil Tecca,2019-09-07,6,5,5,13,1
Boo'd Up,Ella Mai,2018-07-07,7,7,6,13,1
Suge,DaBaby,2019-07-06,7,9,7,13,1
Taste,Tyga Featuring Offset,2018-09-01,10,8,8,13,1
Talk,Khalid,2019-05-18,12,10,8,13,1
Stir Fry,Migos,2018-03-31,12,11,8,13,1
Dancing With A Stranger,Sam Smith & Normani,2019-04-20,12,15,12,13,1
Breathin,Ariana Grande,2018-11-24,14,21,14,13,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-05-18,15,13,2,13,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-10-05,15,16,15,13,1
Someone You Loved,Lewis Capaldi,2019-08-17,17,18,17,13,1
Pop Out,Polo G Featuring Lil Tjay,2019-06-29,18,11,11,13,1
All The Stars,Kendrick Lamar & SZA,2018-04-14,19,16,7,13,1
A Lot,21 Savage,2019-03-30,21,21,12,13,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-11,41,41,36,15,1
Ric Flair Drip,Offset & Metro Boomin,2018-02-24,41,43,39,15,1
Baby Shark,Pinkfong,2019-04-20,42,42,32,15,1
Be Alright,Dean Lewis,2019-02-16,43,44,40,15,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-10-12,44,41,36,15,1
Bury A Friend,Billie Eilish,2019-05-18,46,45,14,15,1
One Number Away,Luke Combs,2018-07-07,49,57,34,15,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-04-14,51,47,14,15,1
Better,Khalid,2019-01-05,51,39,29,15,1
Sit Next To Me,Foster The People,2018-07-07,51,59,51,15,1
Sad!,XXXTENTACION,2018-06-23,52,51,7,15,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-04-13,52,44,38,15,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2019-02-09,53,48,45,15,1
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-03-10,54,61,54,15,1
Rearview Town,Jason Aldean,2019-09-14,56,56,40,15,1
Prayed For You,Matt Stell,2019-11-23,57,49,36,15,1
Pills And Automobiles,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",2018-01-06,57,53,46,15,1
Round Here Buzz,Eric Church,2018-01-20,57,57,57,15,1
That's On Me,Yella Beezy,2018-11-17,57,62,57,15,1
All Girls Are The Same,Juice WRLD,2018-09-01,61,59,41,15,1
Best Shot,Jimmie Allen,2019-01-05,61,55,46,15,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-09-28,64,63,34,15,1
Baby Sitter,DaBaby Featuring Offset,2019-11-30,64,64,59,15,1
Betrayed,Lil Xan,2018-03-10,66,66,64,15,1
Callaita,Bad Bunny & Tainy,2019-09-28,67,72,52,15,1
Outside Today,YoungBoy Never Broke Again,2018-05-05,69,58,31,15,1
Sixteen,Thomas Rhett,2019-03-02,69,69,42,15,1
Armed And Dangerous,Juice WRLD,2019-03-02,71,65,44,15,1
Cool,Jonas Brothers,2019-07-27,75,63,27,15,1
Powerglide,Rae Sremmurd & Juicy J,2018-06-23,75,67,28,15,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-12-28,76,67,8,15,1
Talk You Out Of It,Florida Georgia Line,2019-06-08,78,89,77,15,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2019-02-16,79,72,28,15,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-05-18,80,81,46,15,1
Candy Paint,Post Malone,2018-02-17,80,82,50,15,1
