song,performer,date,chart_position,hitTF
Falling Down,Lil Peep & XXXTENTACION,2018-10-20,50,1
Good As Hell,Lizzo,2019-09-28,50,1
Drew Barrymore,Bryce Vine,2018-09-15,50,1
Dura,Daddy Yankee,2018-03-10,50,1
Filthy,Justin Timberlake,2018-02-10,51,1
Follow God,Kanye West,2019-11-30,52,1
Enemies,Post Malone Featuring DaBaby,2019-10-12,52,1
Girls Need Love,Summer Walker X Drake,2019-03-30,52,1
Friends,Marshmello & Anne-Marie,2018-03-17,52,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-07-21,52,1
Killshot,Eminem,2018-10-20,53,1
Mob Ties,Drake,2018-08-04,53,1
Esskeetit,Lil Pump,2018-05-19,53,1
Go Loko,"YG, Tyga & Jon Z",2019-06-08,53,1
Life Changes,Thomas Rhett,2018-07-28,54,1
Look Back At It,A Boogie Wit da Hoodie,2019-01-12,54,1
Mona Lisa,Lil Wayne Featuring Kendrick Lamar,2018-11-03,55,1
INTRO,DaBaby,2019-10-26,55,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-08-18,55,1
No Excuses,Meghan Trainor,2018-04-07,55,1
Here With Me,Marshmello Featuring CHVRCHES,2019-04-13,55,1
Done For Me,Charlie Puth Featuring Kehlani,2018-06-09,55,1
El Farsante,Ozuna & Romeo Santos,2018-03-03,56,1
Heat,Chris Brown Featuring Gunna,2019-10-05,57,1
Drip,Cardi B Featuring Migos,2018-05-12,58,1
Love Lies,Khalid & Normani,2018-03-24,58,1
Lonely Child,YoungBoy Never Broke Again,2019-11-16,58,1
Heart On Ice,Rod Wave,2019-12-14,59,1
Make No Sense,YoungBoy Never Broke Again,2019-11-16,59,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-05-18,59,1
Murder On My Mind,YNW Melly,2019-02-23,59,1
Never Recover,Lil Baby & Gunna Featuring Drake,2018-11-10,60,1
Just Us,DJ Khaled Featuring SZA,2019-06-22,60,1
Love Ain't,Eli Young Band,2019-05-18,60,1
Motivation,Normani,2019-09-21,61,1
Liar,Camila Cabello,2019-10-12,61,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-08-11,61,1
New Patek,Lil Uzi Vert,2018-10-20,62,1
Narcos,Migos,2018-03-03,62,1
Easier,5 Seconds Of Summer,2019-06-29,62,1
I'm A Mess,Bebe Rexha,2018-08-18,62,1
Envy Me,Calboy,2019-01-19,63,1
Hotel Key,Old Dominion,2018-08-04,63,1
Most People Are Good,Luke Bryan,2018-03-03,63,1
Fine China,Future & Juice WRLD,2018-11-24,65,1
Into The Unknown,Idina Menzel & AURORA,2019-12-28,65,1
Growing Pains,Alessia Cara,2018-08-04,66,1
Hot Girl Bummer,blackbear,2019-10-19,66,1
Everyday,Logic & Marshmello,2018-04-07,67,1
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",2018-02-17,67,1
No Stylist,French Montana Featuring Drake,2018-10-27,67,1
La Modelo,Ozuna x Cardi B,2018-01-27,67,1
Level Up,Ciara,2018-08-25,67,1
Living,Dierks Bentley,2019-08-31,67,1
Hardaway,Derez De'Shon,2018-03-10,67,1
Homicide,Logic Featuring Eminem,2019-06-08,68,1
Kevin's Heart,J. Cole,2018-05-26,68,1
Kooda,6ix9ine,2018-01-13,68,1
Nowadays,Lil Skies Featuring Landon Cube,2018-02-10,68,1
F.N,Lil Tjay,2019-09-14,68,1
Good Vibes,Chris Janson,2019-10-05,68,1
Earth,Lil Dicky,2019-05-25,69,1
Look What God Gave Her,Thomas Rhett,2019-04-06,69,1
Eyes On You,Chase Rice,2019-03-23,69,1
Good As You,Kane Brown,2019-03-30,69,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-02-17,69,1
Fake Love,BTS,2018-06-23,71,1
Lean Wit Me,Juice WRLD,2018-09-08,71,1
Kiss Somebody,Morgan Evans,2018-08-04,71,1
I'll Never Love Again,Lady Gaga,2018-11-10,72,1
Kinfolks,Sam Hunt,2019-11-16,72,1
Mercy,Brett Young,2018-06-09,72,1
Fall,Eminem,2018-10-06,73,1
Imagine,Ariana Grande,2019-01-19,73,1
Hate Me,Ellie Goulding & Juice WRLD,2019-08-24,73,1
I Don't Know About You,Chris Lane,2019-08-10,73,1
Hollywood's Bleeding,Post Malone,2019-10-12,74,1
Ice Tray,Quavo & Lil Yachty,2018-01-13,74,1
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",2019-11-23,60,1
Hooked,Dylan Scott,2018-09-01,60,1
Lost In The Fire,Gesaffelstein & The Weeknd,2019-03-02,61,1
Motivation,Normani,2019-10-05,61,1
Kinfolks,Sam Hunt,2019-11-30,62,1
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,2019-04-27,62,1
I Don't Know About You,Chris Lane,2019-08-24,62,1
Enemies,Post Malone Featuring DaBaby,2019-10-26,63,1
Jackie Chan,Tiesto & Dzeko Featuring Preme & Post Malone,2018-08-25,63,1
Mercy,Brett Young,2018-06-23,63,1
Lucky You,Eminem Featuring Joyner Lucas,2018-10-20,64,1
Fine China,Future & Juice WRLD,2018-12-08,64,1
Echame La Culpa,Luis Fonsi & Demi Lovato,2018-01-13,64,1
El Farsante,Ozuna & Romeo Santos,2018-03-17,64,1
Hotel Key,Old Dominion,2018-08-18,64,1
Get Along,Kenny Chesney,2018-05-26,64,1
Knockin' Boots,Luke Bryan,2019-06-15,64,1
Falling Down,Lil Peep & XXXTENTACION,2018-11-03,66,1
Easier,5 Seconds Of Summer,2019-07-13,66,1
Love Ain't,Eli Young Band,2019-06-01,66,1
Good As You,Kane Brown,2019-04-13,68,1
Drip,Cardi B Featuring Migos,2018-05-26,69,1
I Was Jack (You Were Diane),Jake Owen,2018-07-14,69,1
Everything's Gonna Be Alright,David Lee Murphy & Kenny Chesney,2018-06-09,69,1
Never Recover,Lil Baby & Gunna Featuring Drake,2018-11-24,70,1
Heart On Ice,Rod Wave,2019-12-28,70,1
Nowadays,Lil Skies Featuring Landon Cube,2018-02-24,70,1
Lalala,Y2K & bbno$,2019-08-17,71,1
No Me Conoce,"Jhay Cortez, J Balvin & Bad Bunny",2019-08-24,71,1
Hardaway,Derez De'Shon,2018-03-24,72,1
Nights Like This,Kehlani Featuring Ty Dolla $ign,2019-03-02,72,1
It's You,Ali Gatie,2019-08-03,72,1
Love Someone,Lukas Graham,2019-02-16,72,1
Good Girl,Dustin Lynch,2018-12-29,72,1
Love Someone,Brett Eldredge,2019-06-08,72,1
No Stylist,French Montana Featuring Drake,2018-11-10,73,1
Kooda,6ix9ine,2018-01-27,73,1
Senorita,Shawn Mendes & Camila Cabello,2019-09-14,2,1
Bad Guy,Billie Eilish,2019-06-22,2,1
Circles,Post Malone,2019-11-23,2,1
7 Rings,Ariana Grande,2019-04-13,3,1
Sucker,Jonas Brothers,2019-05-25,3,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-01-12,3,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-05-19,4,1
"Thank U, Next",Ariana Grande,2019-01-26,5,1
Sicko Mode,Travis Scott,2018-10-27,7,1
Boo'd Up,Ella Mai,2018-06-23,7,1
Suge,DaBaby,2019-06-22,8,1
Ran$om,Lil Tecca,2019-08-24,8,1
Talk,Khalid,2019-05-04,8,1
Taste,Tyga Featuring Offset,2018-08-18,9,1
Stir Fry,Migos,2018-03-17,10,1
Dance Monkey,Tones And I,2019-12-28,11,1
BOP,DaBaby,2019-12-21,11,1
Better Now,Post Malone,2018-07-21,12,1
"10,000 Hours",Dan + Shay & Justin Bieber,2019-12-28,13,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-05-04,14,1
All The Stars,Kendrick Lamar & SZA,2018-03-31,14,1
Dancing With A Stranger,Sam Smith & Normani,2019-04-06,17,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-04-28,18,1
A Lot,21 Savage,2019-03-16,18,1
Please Me,Cardi B & Bruno Mars,2019-05-11,19,1
Bandit,Juice WRLD & YoungBoy Never Broke Again,2019-12-28,19,1
Someone You Loved,Lewis Capaldi,2019-08-03,20,1
Plug Walk,Rich The Kid,2018-05-05,21,1
Pop Out,Polo G Featuring Lil Tjay,2019-06-15,22,1
Be Careful,Cardi B,2018-06-23,23,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-09-21,23,1
Beer Never Broke My Heart,Luke Combs,2019-07-27,24,1
Sweet But Psycho,Ava Max,2019-03-09,24,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2018-12-22,25,1
Baby,Lil Baby & DaBaby,2019-10-12,26,1
Back To You,Selena Gomez,2018-08-04,26,1
Sad!,XXXTENTACION,2018-05-26,27,1
One Man Band,Old Dominion,2019-11-16,28,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-03-17,29,1
Panini,Lil Nas X,2019-09-14,29,1
Better,Khalid,2018-12-08,29,1
Bury A Friend,Billie Eilish,2019-04-20,30,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-02-09,30,1
Powerglide,Rae Sremmurd & Juicy J,2018-05-26,31,1
Breathin,Ariana Grande,2018-11-10,32,1
Beautiful,Bazzi Featuring Camila Cabello,2018-10-27,32,1
Act Up,City Girls,2019-05-25,33,1
Speechless,Dan + Shay,2018-12-01,33,1
Delicate,Taylor Swift,2018-06-02,34,1
One Number Away,Luke Combs,2018-06-09,34,1
Baby Shark,Pinkfong,2019-03-23,35,1
River,Eminem Featuring Ed Sheeran,2018-02-24,35,1
Simple,Florida Georgia Line,2018-08-25,35,1
Prayed For You,Matt Stell,2019-10-26,36,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-09-14,36,1
One Kiss,Calvin Harris & Dua Lipa,2018-06-30,37,1
She Got The Best Of Me,Luke Combs,2018-11-03,37,1
Shallow,Lady Gaga & Bradley Cooper,2018-12-22,39,1
Beer Never Broke My Heart,Luke Combs,2019-08-10,21,1
One Man Band,Old Dominion,2019-11-30,22,1
Sweet But Psycho,Ava Max,2019-03-23,22,1
Plug Walk,Rich The Kid,2018-05-19,26,1
Please Me,Cardi B & Bruno Mars,2019-05-25,27,1
Baby,Lil Baby & DaBaby,2019-10-26,29,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-05-12,30,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019-01-05,30,1
Ballin',Mustard Featuring Roddy Ricch,2019-10-26,30,1
Act Up,City Girls,2019-06-08,31,1
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-06,31,1
Be Careful,Cardi B,2018-07-07,32,1
Simple,Florida Georgia Line,2018-09-08,32,1
Back To You,Selena Gomez,2018-08-18,33,1
Beautiful,Bazzi Featuring Camila Cabello,2018-11-10,33,1
Baby Shark,Pinkfong,2019-04-06,33,1
Better,Khalid,2018-12-22,35,1
Bury A Friend,Billie Eilish,2019-05-04,36,1
Shotta Flow,NLE Choppa,2019-07-27,36,1
Delicate,Taylor Swift,2018-06-16,37,1
Rumor,Lee Brice,2019-06-15,37,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-03-31,38,1
She Got The Best Of Me,Luke Combs,2018-11-17,39,1
Broken,lovelytheband,2018-10-20,39,1
Speechless,Dan + Shay,2018-12-15,40,1
Rearview Town,Jason Aldean,2019-08-31,40,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-02-23,42,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-28,42,1
Sad!,XXXTENTACION,2018-06-09,43,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-09-28,43,1
All To Myself,Dan + Shay,2019-08-10,43,1
One Kiss,Calvin Harris & Dua Lipa,2018-07-14,45,1
One Number Away,Luke Combs,2018-06-23,45,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-03-30,45,1
River,Eminem Featuring Ed Sheeran,2018-03-10,46,1
Ric Flair Drip,Offset & Metro Boomin,2018-02-10,46,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2019-01-26,47,1
Powerglide,Rae Sremmurd & Juicy J,2018-06-09,50,1
Shallow,Lady Gaga & Bradley Cooper,2019-01-05,52,1
Outside Today,YoungBoy Never Broke Again,2018-04-21,52,1
Be Alright,Dean Lewis,2019-02-02,52,1
One Thing Right,Marshmello & Kane Brown,2019-09-28,52,1
Best Shot,Jimmie Allen,2018-12-22,52,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-09-14,53,1
Sixteen,Thomas Rhett,2019-02-16,55,1
Prayed For You,Matt Stell,2019-11-09,56,1
Sit Next To Me,Foster The People,2018-06-23,56,1
Cool,Jonas Brothers,2019-07-13,57,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-06,59,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-12-14,60,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-12-01,60,1
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-02-24,60,1
Baby Sitter,DaBaby Featuring Offset,2019-11-16,61,1
Armed And Dangerous,Juice WRLD,2019-02-16,62,1
Callaita,Bad Bunny & Tainy,2019-09-14,63,1
Remember You Young,Thomas Rhett,2019-12-21,63,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2019-02-02,64,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-05-05,65,1
Camelot,NLE Choppa,2019-12-21,66,1
All Girls Are The Same,Juice WRLD,2018-08-18,69,1
Betrayed,Lil Xan,2018-02-24,69,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-08-17,70,1
Round Here Buzz,Eric Church,2018-01-06,72,1
Apes**t,The Carters,2018-09-22,73,1
223's,YNW Melly & 9lokknine,2019-12-14,74,1
Robbery,Juice WRLD,2019-05-25,75,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-10-26,76,1
Singles You Up,Jordan Davis,2018-05-12,76,1
Blue Tacoma,Russell Dickerson,2018-11-24,76,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-05-04,77,1
Red Roses,Lil Skies Featuring Landon Cube,2018-04-14,77,1
Talk You Out Of It,Florida Georgia Line,2019-05-25,77,1
Call Out My Name,The Weeknd,2018-07-07,78,1
Candy Paint,Post Malone,2018-02-03,78,1
Take It From Me,Jordan Davis,2019-04-06,79,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-09-07,79,1
Shot Clock,Ella Mai,2019-05-04,79,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-10-27,81,1
Chun-Li,Nicki Minaj,2018-07-14,82,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-08-04,83,1
Calling My Spirit,Kodak Black,2019-03-09,83,1
Press,Cardi B,2019-09-07,85,1
Before I Let Go,Beyonce,2019-07-27,85,1
That's On Me,Yella Beezy,2018-11-03,86,1
Southbound,Carrie Underwood,2019-10-19,88,1
Sanguine Paradise,Lil Uzi Vert,2019-07-20,89,1
Raised On Country,Chris Young,2019-09-07,90,1
Some Of It,Eric Church,2019-08-31,91,1
Talk To Me,Tory Lanez & Rich The Kid,2019-02-02,94,1
Codeine Dreaming,Kodak Black Featuring Lil Wayne,2018-03-10,95,1
Circles,Post Malone,2019-12-14,2,1
Rockstar,Post Malone Featuring 21 Savage,2018-01-06,2,1
Senorita,Shawn Mendes & Camila Cabello,2019-10-05,2,1
Bad Guy,Billie Eilish,2019-07-13,2,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-06-09,2,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-02-02,3,1
Sicko Mode,Travis Scott,2018-11-17,3,1
7 Rings,Ariana Grande,2019-05-04,4,1
Ran$om,Lil Tecca,2019-09-14,4,1
Sucker,Jonas Brothers,2019-06-15,5,1
Better Now,Post Malone,2018-08-11,6,1
Panini,Lil Nas X,2019-10-05,6,1
"Thank U, Next",Ariana Grande,2019-02-16,7,1
Dancing With A Stranger,Sam Smith & Normani,2019-04-27,7,1
Taste,Tyga Featuring Offset,2018-09-08,8,1
Talk,Khalid,2019-05-25,9,1
Suge,DaBaby,2019-07-13,10,1
Boo'd Up,Ella Mai,2018-07-14,11,1
Stir Fry,Migos,2018-04-07,13,1
Breathin,Ariana Grande,2018-12-01,13,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-10-12,14,1
Someone You Loved,Lewis Capaldi,2019-08-24,14,1
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,2019-05-25,15,1
Pop Out,Polo G Featuring Lil Tjay,2019-07-06,19,1
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019-01-12,19,1
Sweet But Psycho,Ava Max,2019-03-30,20,1
Beer Never Broke My Heart,Luke Combs,2019-08-17,21,1
Pray For Me,The Weeknd & Kendrick Lamar,2018-05-19,22,1
A Lot,21 Savage,2019-04-06,22,1
Plug Walk,Rich The Kid,2018-05-26,22,1
One Man Band,Old Dominion,2019-12-07,22,1
All The Stars,Kendrick Lamar & SZA,2018-04-21,25,1
Back To You,Selena Gomez,2018-08-25,25,1
Delicate,Taylor Swift,2018-06-23,25,1
Ballin',Mustard Featuring Roddy Ricch,2019-11-02,27,1
Act Up,City Girls,2019-06-15,28,1
Shallow,Lady Gaga & Bradley Cooper,2019-01-12,29,1
One Kiss,Calvin Harris & Dua Lipa,2018-07-21,29,1
Baby,Lil Baby & DaBaby,2019-11-02,30,1
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018-01-13,31,1
Beautiful,Bazzi Featuring Camila Cabello,2018-11-17,32,1
Please Me,Cardi B & Bruno Mars,2019-06-01,33,1
Broken,lovelytheband,2018-10-27,33,1
All To Myself,Dan + Shay,2019-08-17,33,1
Speechless,Dan + Shay,2018-12-22,34,1
She Got The Best Of Me,Luke Combs,2018-11-24,35,1
Shotta Flow,NLE Choppa,2019-08-03,36,1
Rumor,Lee Brice,2019-06-22,36,1
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,2019-03-02,37,1
Better,Khalid,2018-12-29,39,1
Simple,Florida Georgia Line,2018-09-15,40,1
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-04,41,1
Cash Shit,Megan Thee Stallion Featuring DaBaby,2019-10-05,41,1
Baby Shark,Pinkfong,2019-04-13,42,1
Ric Flair Drip,Offset & Metro Boomin,2018-02-17,43,1
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019-04-06,44,1
Be Alright,Dean Lewis,2019-02-09,44,1
Bury A Friend,Billie Eilish,2019-05-11,45,1
Bartier Cardi,Cardi B Featuring 21 Savage,2018-04-07,47,1
One Thing Right,Marshmello & Kane Brown,2019-10-05,47,1
Be Careful,Cardi B,2018-07-14,48,1
Burning Man,Dierks Bentley Featuring Brothers Osborne,2019-02-02,48,1
Prayed For You,Matt Stell,2019-11-16,49,1
Sad!,XXXTENTACION,2018-06-16,51,1
Best Shot,Jimmie Allen,2018-12-29,55,1
Rearview Town,Jason Aldean,2019-09-07,56,1
One Number Away,Luke Combs,2018-06-30,57,1
Round Here Buzz,Eric Church,2018-01-13,57,1
Outside Today,YoungBoy Never Broke Again,2018-04-28,58,1
All Girls Are The Same,Juice WRLD,2018-08-25,59,1
Sit Next To Me,Foster The People,2018-06-30,59,1
River,Eminem Featuring Ed Sheeran,2018-03-17,61,1
Pick It Up,Famous Dex Featuring A$AP Rocky,2018-03-03,61,1
That's On Me,Yella Beezy,2018-11-10,62,1
Cool,Jonas Brothers,2019-07-20,63,1
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",2019-09-21,63,1
Baby Sitter,DaBaby Featuring Offset,2019-11-23,64,1
Armed And Dangerous,Juice WRLD,2019-02-23,65,1
Betrayed,Lil Xan,2018-03-03,66,1
Soltera,"Lunay, Daddy Yankee & Bad Bunny",2019-08-24,66,1
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,2019-12-21,67,1
Powerglide,Rae Sremmurd & Juicy J,2018-06-16,67,1
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,2018-12-08,68,1
Sixteen,Thomas Rhett,2019-02-23,69,1
Camelot,NLE Choppa,2019-12-28,71,1
China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",2019-11-02,71,1
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,2019-02-09,72,1
Callaita,Bad Bunny & Tainy,2019-09-21,72,1
Remember You Young,Thomas Rhett,2019-12-28,73,1
Call You Mine,The Chainsmokers & Bebe Rexha,2019-09-14,76,1
Singles You Up,Jordan Davis,2018-05-19,77,1
Blue Tacoma,Russell Dickerson,2018-12-01,77,1
Say Something,Justin Timberlake Featuring Chris Stapleton,2018-05-12,78,1
Press,Cardi B,2019-09-14,78,1
223's,YNW Melly & 9lokknine,2019-12-21,80,1
Calling My Spirit,Kodak Black,2019-03-16,80,1
Put A Date On It,Yo Gotti Featuring Lil Baby,2019-05-11,81,1
Candy Paint,Post Malone,2018-02-10,82,1
Apes**t,The Carters,2018-09-29,83,1
"Sunrise, Sunburn, Sunset",Luke Bryan,2018-10-13,83,1
Robbery,Juice WRLD,2019-06-01,84,1
Before I Let Go,Beyonce,2019-08-03,85,1
Best Part,Daniel Caesar Featuring H.E.R.,2018-11-03,85,1
Shot Clock,Ella Mai,2019-05-11,87,1
Chun-Li,Nicki Minaj,2018-07-21,89,1
Ball For Me,Post Malone Featuring Nicki Minaj,2018-08-11,89,1
Talk You Out Of It,Florida Georgia Line,2019-06-01,89,1
Call Out My Name,The Weeknd,2018-07-14,90,1
Talk To Me,Tory Lanez & Rich The Kid,2019-02-09,94,1
Red Roses,Lil Skies Featuring Landon Cube,2018-04-21,94,1
Sanguine Paradise,Lil Uzi Vert,2019-07-27,95,1
Psycho,Post Malone Featuring Ty Dolla $ign,2018-06-16,1,1
Senorita,Shawn Mendes & Camila Cabello,2019-10-12,2,1
Circles,Post Malone,2019-12-21,2,1
Bad Guy,Billie Eilish,2019-07-20,2,1
Sicko Mode,Travis Scott,2018-11-24,2,1
Rockstar,Post Malone Featuring 21 Savage,2018-01-13,3,1
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019-02-09,3,1
"Thank U, Next",Ariana Grande,2019-02-23,3,1
Sucker,Jonas Brothers,2019-06-22,4,1
Talk,Khalid,2019-06-01,5,1
Boo'd Up,Ella Mai,2018-07-21,5,1
7 Rings,Ariana Grande,2019-05-11,6,1
Ran$om,Lil Tecca,2019-09-21,6,1
Better Now,Post Malone,2018-08-18,6,1
Dancing With A Stranger,Sam Smith & Normani,2019-05-04,7,1
Panini,Lil Nas X,2019-10-12,8,1
Suge,DaBaby,2019-07-20,10,1
Taste,Tyga Featuring Offset,2018-09-15,10,1
Someone You Loved,Lewis Capaldi,2019-08-31,11,1
Breathin,Ariana Grande,2018-12-08,13,1
Beautiful People,Ed Sheeran Featuring Khalid,2019-10-19,15,1
MIA,Bad Bunny Featuring Drake,2018-11-24,19,1
Going Bad,Meek Mill Featuring Drake,2019-01-12,21,1
Money,Cardi B,2018-12-01,21,1
I'm Upset,Drake,2018-07-07,26,1
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",2019-09-21,28,1
Never Really Over,Katy Perry,2019-07-13,28,1
Nonstop,Drake,2018-08-11,29,1
Natural,Imagine Dragons,2018-09-01,29,1
everything i wanted,Billie Eilish,2019-12-21,30,1
God Is A Woman,Ariana Grande,2018-08-25,30,1
Happier,Marshmello & Bastille,2018-09-29,31,1
Mo Bamba,Sheck Wes,2018-10-06,31,1
Filthy,Justin Timberlake,2018-02-17,34,1
God's Country,Blake Shelton,2019-05-11,34,1
Japan,Famous Dex,2018-05-05,35,1
Earfquake,"Tyler, The Creator",2019-06-29,36,1
How Do You Sleep?,Sam Smith,2019-08-31,36,1
In My Blood,Shawn Mendes,2018-04-28,38,1
Falling,Trevor Daniel,2019-12-28,38,1
My Type,Saweetie,2019-08-10,38,1
King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",2018-02-24,38,1
Hot,Young Thug Featuring Gunna,2019-09-28,39,1
Marry Me,Thomas Rhett,2018-01-20,39,1
End Game,Taylor Swift Featuring Ed Sheeran & Future,2018-01-06,40,1
Friends,Marshmello & Anne-Marie,2018-03-24,41,1
"Hey Look Ma, I Made It",Panic! At The Disco,2019-05-25,41,1
Envy Me,Calboy,2019-01-26,41,1
New Freezer,Rich The Kid Featuring Kendrick Lamar,2018-03-10,42,1
Good As Hell,Lizzo,2019-10-05,43,1
Graveyard,Halsey,2019-10-26,43,1
Nightmare,Halsey,2019-06-29,44,1
Here With Me,Marshmello Featuring CHVRCHES,2019-04-20,46,1
Drew Barrymore,Bryce Vine,2018-09-22,47,1
Eastside,"Benny Blanco, Halsey & Khalid",2018-08-25,48,1
On Chill,Wale Featuring Jeremih,2019-09-21,48,1
Drowns The Whiskey,Jason Aldean Featuring Miranda Lambert,2018-07-28,48,1
KOD,J. Cole,2018-06-02,49,1
Lover,Taylor Swift,2019-09-28,49,1
Life Changes,Thomas Rhett,2018-08-04,49,1
Look Back At It,A Boogie Wit da Hoodie,2019-01-19,49,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-01-12,49,1
Go Loko,"YG, Tyga & Jon Z",2019-06-15,50,1
Love Ain't,Eli Young Band,2019-05-25,50,1
I'm A Mess,Bebe Rexha,2018-08-25,51,1
El Farsante,Ozuna & Romeo Santos,2018-03-10,52,1
Love Lies,Khalid & Normani,2018-03-31,53,1
Just Us,DJ Khaled Featuring SZA,2019-06-29,53,1
Dura,Daddy Yankee,2018-03-17,54,1
Lucky You,Eminem Featuring Joyner Lucas,2018-10-13,55,1
Falling Down,Lil Peep & XXXTENTACION,2018-10-27,55,1
No Excuses,Meghan Trainor,2018-04-14,55,1
Heat,Chris Brown Featuring Gunna,2019-10-12,57,1
Most People Are Good,Luke Bryan,2018-03-10,57,1
Esskeetit,Lil Pump,2018-05-26,58,1
Lost In The Fire,Gesaffelstein & The Weeknd,2019-02-23,58,1
Motivation,Normani,2019-09-28,58,1
Girls Need Love,Summer Walker X Drake,2019-04-06,58,1
Liar,Camila Cabello,2019-10-19,58,1
Good As You,Kane Brown,2019-04-06,59,1
Hotel Key,Old Dominion,2018-08-11,60,1
Mixed Personalities,YNW Melly Featuring Kanye West,2019-03-02,60,1
Done For Me,Charlie Puth Featuring Kehlani,2018-06-16,61,1
Hot Girl Bummer,blackbear,2019-10-26,61,1
Eyes On You,Chase Rice,2019-03-30,61,1
Enemies,Post Malone Featuring DaBaby,2019-10-19,62,1
Drip,Cardi B Featuring Migos,2018-05-19,62,1
Mob Ties,Drake,2018-08-11,64,1
Fine China,Future & Juice WRLD,2018-12-01,64,1
Easier,5 Seconds Of Summer,2019-07-06,64,1
Hot Girl Bummer,blackbear,2019-11-23,45,1
Heat,Chris Brown Featuring Gunna,2019-11-09,46,1
Most People Are Good,Luke Bryan,2018-04-07,46,1
Hooked,Dylan Scott,2018-09-22,48,1
Envy Me,Calboy,2019-02-23,50,1
Lemon,N*E*R*D & Rihanna,2018-01-20,50,1
I Don't Know About You,Chris Lane,2019-09-14,50,1
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,2019-02-09,51,1
Living,Dierks Bentley,2019-10-05,51,1
Hotel Key,Old Dominion,2018-09-08,51,1
Japan,Famous Dex,2018-06-02,52,1
Good As You,Kane Brown,2019-05-04,52,1
Liar,Camila Cabello,2019-11-16,52,1
